w_hhsa_name (DESTINATION),h_hhsa_name (ORIGIN),Baseline All Jobs,May 8 Change,Updated May 8 Number
NORTH COASTAL,NORTH COASTAL,90238,34.00%,"120,919"
NORTH COASTAL,NORTH CENTRAL,13229,,"13,229"
NORTH COASTAL,CENTRAL,6265,,"6,265"
NORTH COASTAL,SOUTH,5437,,"5,437"
NORTH COASTAL,EAST,6217,,"6,217"
NORTH COASTAL,NORTH INLAND,36852,-22.00%,"28,745"
NORTH COASTAL,,48498,,"48,498"
NORTH CENTRAL,NORTH COASTAL,33295,,"33,295"
NORTH CENTRAL,NORTH CENTRAL,135269,25.00%,"169,086"
NORTH CENTRAL,CENTRAL,77369,-38.00%,"47,969"
NORTH CENTRAL,SOUTH,53673,,"53,673"
NORTH CENTRAL,EAST,61336,20.00%,"73,603"
NORTH CENTRAL,NORTH INLAND,58747,,"58,747"
NORTH CENTRAL,,93433,,"93,433"
CENTRAL,NORTH COASTAL,5942,,"5,942"
CENTRAL,NORTH CENTRAL,34489,-29.00%,"24,487"
CENTRAL,CENTRAL,52925,28.00%,"67,744"
CENTRAL,SOUTH,32902,-21.00%,"25,993"
CENTRAL,EAST,27209,-10.00%,"24,488"
CENTRAL,NORTH INLAND,10551,,"10,551"
CENTRAL,,24225,,"24,225"
SOUTH,NORTH COASTAL,2428,,"2,428"
SOUTH,NORTH CENTRAL,9588,,"9,588"
SOUTH,CENTRAL,19312,-33.00%,"12,939"
SOUTH,SOUTH,64913,24.00%,"80,492"
SOUTH,EAST,13998,,"13,998"
SOUTH,NORTH INLAND,4037,,"4,037"
SOUTH,,18432,,"18,432"
EAST,NORTH COASTAL,2951,,"2,951"
EAST,NORTH CENTRAL,12980,-22.00%,"10,124"
EAST,CENTRAL,18068,-32.00%,"12,286"
EAST,SOUTH,16627,,"16,627"
EAST,EAST,62893,32.00%,"83,019"
EAST,NORTH INLAND,7904,,"7,904"
EAST,,18080,,"18,080"
NORTH INLAND,NORTH COASTAL,26859,30.00%,"34,917"
NORTH INLAND,NORTH CENTRAL,19578,,"19,578"
NORTH INLAND,CENTRAL,9451,,"9,451"
NORTH INLAND,SOUTH,7484,,"7,484"
NORTH INLAND,EAST,12511,,"12,511"
NORTH INLAND,NORTH INLAND,85670,33.00%,"113,941"
NORTH INLAND,,48928,,"48,928"
,NORTH COASTAL,54456,,"54,456"
,NORTH CENTRAL,47979,,"47,979"
,CENTRAL,37109,,"37,109"
,SOUTH,39588,,"39,588"
,EAST,34149,,"34,149"
,NORTH INLAND,54192,,"54,192"
,,3,,3
BASE LINE DATA: Jan 12,,,,